"code","quest","markerKey","index","objective","type","optional","stringName","english","czech","displayNodes","paths"
"M01","prepadeni","prepadeni","0","nasleduj_druzinu_pana_ptacka","Progress","False","prepadeni_nasleduj_pana_p_VQdv","Follow Sir Hans' company.","Následuj družinu pana Ptáčka.","1","hibernovana_cast.objectiveVisual6"
"M01","prepadeni","prepadeni","1","zjisti_od_ptacka_jaky_je_plan","caponPlan","False","prepadeni_zjisti_od_ptack_3seP","Find out from Sir Hans what the plan is.","Zjisti od Ptáčka, jaký je plán.","1","hibernovana_cast.tabor.objectiveVisual1"
"M01","prepadeni","prepadeni","2","zavolej_vorecha_k_noze","Progress","False","mq01__pre_calldog_lzXT","Call Mutt to heel.","Zavolej Vořecha k noze.","1","hibernovana_cast.tabor.kuchar_odhani_psa.objectiveVisual1"
"M01","prepadeni","prepadeni","3","sezen_pro_vorecha_neco_k_jidlu_a_nakrm_ho","FoodForDog","True","mq01__pre_sezen_od_kuchar_oCX8","Find something to eat for Mutt and feed him.","Sežeň pro Vořecha něco k jídlu a nakrm ho.","1","hibernovana_cast.tabor.volitelne_shaneni_jidla_pro_psa.objectiveVisual1"
"M01","prepadeni","prepadeni","4","vyhraj_nad_pivcem","ProgressFailable","True","mq01__pre_getring_B5CL","Get Oats' ring back from Tankard.","Získej od Pivce Vovsův prsten.","1","hibernovana_cast.tabor.volitelne_shaneni_jidla_pro_psa.objectiveVisual4"
"M01","prepadeni","prepadeni","5","vrat_prsten_vovsovi","ProgressFailable","True","prepadeni_vrat_prsten_vov_elKt","Return the ring to Oats.","Vrať prsten Vovsovi.","1","hibernovana_cast.tabor.volitelne_shaneni_jidla_pro_psa.objectiveVisual2"
"M01","prepadeni","prepadeni","6","vybav_se_zbroji_a_mecem_a_promluv_s_ptackem","EquipArmor","False","prepadeni_nasad_si_zbroj__xQPy","Get kitted out with armour and a sword and talk to Sir Hans.","Vybav se zbrojí a mečem a promluv s Ptáčkem.","1","hibernovana_cast.tabor.s_ptackem_o_treningu.objectiveVisual6"
"M01","prepadeni","prepadeni","7","vytas_mec","Progress","False","prepadeni_vytas_mec_Jxg7","Draw your sword.","Vytas meč.","1","hibernovana_cast.tabor.serm_s_ptackem.n0_vytas_zbran.objectiveVisual35"
"M01","prepadeni","prepadeni","8","zautoc","Progress","False","prepadeni_zautoc_na_ptacka_Vibk","Attack.","Zaútoč.","1","hibernovana_cast.tabor.serm_s_ptackem.utok.objectiveVisual5"
"M01","prepadeni","prepadeni","9","rekni_ptackovi_ze_muze_zautocit","Progress","False","prepadeni_pockej_az_ptace_0lwj","Tell Sir Hans he can attack.","Řekni Ptáčkovi, že může zaútočit.","0",""
"M01","prepadeni","prepadeni","10","zautoc_v_navazujici_rade_uderu","Progress","False","prepadeni_zautoc_na_ptack_TKGd","Attack using a chained sequence of strikes.","Zaútoč v navazující řadě úderů.","1","hibernovana_cast.tabor.serm_s_ptackem.chain_strike_1.objectiveVisual3"
